tt1392170;nm0001804;Caesar Flickerman
tt1392170;nm0004747;Seneca Crane
tt1392170;nm2225369;Katniss Everdeen
tt1392170;nm3094377;Primrose Everdeen
tt1392170;nm2955013;Gale Hawthorne
tt1392170;nm0006969;Effie Trinket
tt1392170;nm0480808;Hob Vendor (as Sandra Lafferty)
tt1392170;nm0539155;Katniss' Mother
tt1392170;nm0341421;Registration Woman
tt1392170;nm3355596;Propaganda Film Tribute (as Sandino Moya-Smith)
tt1392170;nm1242688;Peeta Mellark
tt1392170;nm2856669;Peeta's Mother
tt1392170;nm1884645;Peacekeeper #1
tt1392170;nm0721593;Peacekeeper #2
tt1392170;nm1885015;Peacekeeper #3
tt0848228;nm0000375;Tony Stark / Iron Man
tt0848228;nm0262635;Steve Rogers / Captain America
tt0848228;nm0749263;Bruce Banner / The Hulk
tt0848228;nm1165110;Thor
tt0848228;nm0424060;Natasha Romanoff / Black Widow
tt0848228;nm0719637;Clint Barton / Hawkeye
tt0848228;nm1089991;Loki
tt0848228;nm0163988;Agent Phil Coulson
tt0848228;nm1130627;Agent Maria Hill
tt0848228;nm0001745;Selvig
tt0848228;nm0000168;Nick Fury
tt0848228;nm0000569;Pepper Potts
tt0848228;nm0079273;Jarvis (voice)
tt0848228;nm0219206;The Other
tt0848228;nm0071416;NASA Scientist
